model_name,test_loss,accuracy,f1,auc,mcc,fake_detection_rate,real_detection_rate,inference_time_ms,fps,parameters_millions,total_misclassified
MobileNetV3-Large,0.02202060779323143,0.8792451045312648,0.92595922392042,0.9476421044120787,0.6249279386786453,0.8827204865910976,0.858684985279686,1.1140324063292515,897.6399558205047,4.203313,2553
ResNet18,0.02217263753877028,0.8849683095260619,0.9299982729837085,0.9447577042550402,0.6271849966143768,0.8932817251866187,0.835786719005561,1.1736166397136587,852.0669920324085,11.177025,2432
ShuffleNet V2,0.02582067561909219,0.8832182385772396,0.9297561808301801,0.9299365235350929,0.5942358821787854,0.903511197124689,0.7631665031076218,1.0050599255452217,994.96554840501,1.254629,2469
EfficientNet-B0,0.019708786816388473,0.9001040582726326,0.9397810218978102,0.9545016540852364,0.6597122886318242,0.9112524191318773,0.8341511285574092,1.4475415326057934,690.8264650616615,4.008829,2112
Xception,0.020340038496351413,0.8631160722732003,0.9146765729111386,0.9509987592664993,0.6104553447183191,0.8577273983964612,0.8949950932286556,2.6354621593643865,379.44009040189644,20.809001,2894
